lon,lat,address,folio,rescomm,propuse,prob_modelA,prob_modelD
-80.32797872302447,25.726840070010514,8235SW 46TH ST,3040220250050,R,0220,0.2271316,0.62678325
-80.33443581688,25.757143414257143,1320SW 85TH CT,3040100230620,R,0220,0.14390135,0.6922238
-80.31628337847411,25.82843375545167,6001NW 74TH AVE,3030140100321,C,1737,0.698984,0.775565
-80.3598426955842,25.755512211225593,1421SW 102ND AVE,3040080060190,R,0220,0.0,0.0
-80.25451666582565,25.848041457839116,3515NW 81ST TER,3031090021580,R,0220,0.6058535,0.69479185
-80.30727280815212,25.712224923977885,6930SW 62ND ST,3040260000261,R,0220,0.21318637,0.45619446
-80.36196145752176,25.757292266260624,10281SW 13TH ST,3040080090620,R,0220,0.0,0.0
-80.3284336083248,25.737513713684848,8230SW 35TH TER,3040150100210,R,0220,0.9198472,0.623264
-80.28784861671369,25.742414793190093,5731SW 31ST ST,3040130100180,R,0220,0.9038042,0.58513016
-80.293217474366,25.875857653487728,5775NW 112TH TER,3020360021150,R,0220,0.23156156,0.6303571
-80.39772156450421,25.737620194123753,12505 SW 33RD ST,3049130110530,R,0220,0.0,0.0
-80.34179752770135,25.70663222798382,6702SW 91ST AVE,3040280090540,R,0220,0.45158583,0.5934868
-80.37370929602409,25.70624187341535,11041SNAPPER CREEK DR,3040300050370,R,0220,0.0,0.0
-80.23665827835161,25.814663947942286,2409NW 43RD ST,3031220310020,R,0220,0.23493539,0.7130454
-80.3286390072162,25.70096269410728,7401SW 83RD CT,3040340080050,R,0220,0.12256408,0.64966285
-80.33191363502308,25.75287665031675,1810SW 84TH AVE,3040100210180,R,0220,0.22753999,0.6950696
-80.32681939953962,25.752612272125912,8035SW 19TH ST,3040100020500,R,0220,0.33067963,0.60125893
-80.31403571637811,25.70276847871983,7410SUNSET DR,3040350070020,C,0920,0.08970989,0.58705163
-80.17765326536427,25.85707493235306,8865NE 9TH CT,3032060320010,R,0220,0.229659,0.60487527
-80.31451387882407,25.712382107210395,6140SW 74TH AVE,3040260350031,R,0220,0.2013435,0.5791454
-80.34064691877305,25.72432843362168,4720SW 89TH WAY,3040210350100,R,0220,0.22773807,0.6098503
-80.33179259692001,25.73039247419697,4250SW 84TH AVE,3040220060221,R,0220,0.94287354,0.700255
-80.34660942448764,25.72675189691786,9351SW 45TH ST,3040210150810,R,0220,0.117088504,0.60638356
-80.24398033304473,25.846423422860997,7900NW 27TH AVE,3031090420010,C,1734,0.64723086,0.72101825
-80.3087989488018,25.716922878910037,7020SW 57TH ST,3040260110190,R,0220,0.23585443,0.5464889
-80.32240757195669,25.704897572951253,7900SW 69TH TER,3040270240060,R,0220,0.09094935,0.5808193
-80.31992240518105,25.803323501444613,3155NW 77TH AVE,3030260110030,C,1402,0.94634044,0.7240662
-80.34465194877116,25.705237504535155,6805SW 93RD CT,3040280290010,R,0220,0.49683735,0.6416579
-80.37418214044355,25.709580783638597,11181SW 62ND TER,3040300041400,R,0220,0.0,0.0
-80.2383492769239,25.875076785134297,2440NW 116TH ST,3021340260020,C,1719,0.9226238,0.62947506
-80.31149476781663,25.806095561644852,3401NW 72ND AVE,3030260000013,C,1719,0.95179844,0.75301594
-80.27742531175844,25.70356058504752,7260SW 52ND AVE,3041310190050,R,0220,0.21103892,0.5541543
-80.35737095952038,25.75465674404658,9971SW 16TH ST,3040080060330,R,0220,0.0,0.0
