fpr,tpr,threshold,auc,variant
0.012259194395796848,0.2287208749405611,0.726392939947294,0.7191682793637468,no_nlcd
0.012509382036527395,0.2287208749405611,0.7263925778456392,0.7191682793637468,no_nlcd
0.012509382036527395,0.22887937866539865,0.7263925050072513,0.7191682793637468,no_nlcd
0.012759569677257944,0.22887937866539865,0.7263916684533469,0.7191682793637468,no_nlcd
0.012759569677257944,0.22903788239023617,0.7263909828696636,0.7191682793637468,no_nlcd
0.013510132599449587,0.22903788239023617,0.7263902285836198,0.7191682793637468,no_nlcd
0.013510132599449587,0.22935488983991123,0.7263901726102497,0.7191682793637468,no_nlcd
0.014010507880910683,0.22935488983991123,0.726389850470552,0.7191682793637468,no_nlcd
0.014010507880910683,0.22951339356474876,0.726389598541982,0.7191682793637468,no_nlcd
0.015011258443832875,0.22951339356474876,0.7263883763034543,0.7191682793637468,no_nlcd
0.015011258443832875,0.2296718972895863,0.7263881539910981,0.7191682793637468,no_nlcd
0.015261446084563422,0.2296718972895863,0.7263872486090267,0.7191682793637468,no_nlcd
0.015261446084563422,0.22998890473926137,0.7263852134262127,0.7191682793637468,no_nlcd
0.015511633725293971,0.22998890473926137,0.7263840808568574,0.7191682793637468,no_nlcd
0.015511633725293971,0.23046441591377398,0.7263831813605068,0.7191682793637468,no_nlcd
0.01576182136602452,0.23046441591377398,0.7263823552134494,0.7191682793637468,no_nlcd
0.01576182136602452,0.23078142336344903,0.7263817936281585,0.7191682793637468,no_nlcd
0.016012009006755066,0.23078142336344903,0.7263816375872055,0.7191682793637468,no_nlcd
0.016012009006755066,0.23141543826279917,0.7263783909413826,0.7191682793637468,no_nlcd
0.01651238428821616,0.23141543826279917,0.7263758461802685,0.7191682793637468,no_nlcd
0.01651238428821616,0.23173244571247426,0.726374747142161,0.7191682793637468,no_nlcd
0.017262947210407806,0.23173244571247426,0.7263733448482366,0.7191682793637468,no_nlcd
0.017262947210407806,0.23189094943731178,0.7263732104500132,0.7191682793637468,no_nlcd
0.018263697773329996,0.23189094943731178,0.7263707027406464,0.7191682793637468,no_nlcd
0.018263697773329996,0.23236646061182437,0.726367685800421,0.7191682793637468,no_nlcd
